Tennessee Lookout Towers, 
, 
Waypoint, Tower, Elev., County, Info, 
PET001, Linden, 843', Perry, 7-19 standing, 
PET002, Lobelville, 834', Perry, 7-18 removed, 
PIT001, Regan Knob, 1642', Pickett, 4-5 standing, 
POT005, Big Frog, 4220', Polk, cnf removed, 
POT001, Buck Bald, 2348', Polk, cnf removed, 
POT002, Little Frog, 3322', Polk, cnf removed, 
POT004, Ocoee, 1234', Polk, cnf sitting, 
POT003, Oswald Dome, 3028', Polk, FC1787 cnf moved, 
PUT001, Cookeville, 1429', Putnam, GB2392 4-15 standing, 
PUT002, Stamps Hollow, 1988', Putnam, GB2387 4-16 removed, 
RHT001, Grandview, 1499', Rhea, 3-1 standing, 
RHT002, Smyrna, 1024', Rhea, 3-2 standing, 
RHT003, Spring City, 1826', Rhea, removed, 
ROT002, Bacon Ridge, 1385', Roane, 2-19 removed, 
ROT001, Mt Roosevelt, 2021', Roane, FC1812 2-18 standing, 
RBT001, Adams, 640', Robertson, 6-6 removed, 
RBT002, Cross Plains, 807', Robertson, 6-5 removed, 
RUT001, Marshall Knobs, 882', Rutherford, 5-11 removed, 
SCT002, Black Creek, 1565', Scott, 2-23 standing, 
SCT001, Brimstone 16, 2914', Scott, GB2582 2-24 removed, 
SCT003, Slaven Knob, 1509', Scott, GB2625 2-21 standing, 
SCT004, Smith Knob, 1654', Scott, GB2628 2-20 standing, 
SQT001, Bennett, 2372', Sequatchie, FC1881 3-19 standing, 
SQT002, Bowater, 2231', Sequatchie, moved, 
SQT005, Jakes Mountain, 2204', Sequatchie, standing, 
SQT003, Price Mountain, 2244', Sequatchie, removed, 
SQT004, Wolfpen Mountain, 2244', Sequatchie, 3-18 standing, 
SVT007, Ben Parton, 4822', Sevier, gsmnp historical, 
SVT001, Blanket Mountain, 4609', Sevier, gsmnp historical, 
SVT006, Bluff Mountain, 3069', Sevier, FB2630 2-1 standing, 
SVT008, Cliff Top, 6555', Sevier, gsmnp historical, 
SVT002, Clingmans Dome, 6643', Sevier, gsmnp standing, 
SVT005, Cove Mountain, 4077', Sevier, FB2632 gsmnp standing, 
SVT003, Greenbrier, 4597', Sevier, FB2487 gsmnp removed, 
SVT004, Mount Guyot, 6621', Sevier, FB2486 gsmnp historical, 
SHT002, Lakeland, 397', Shelby, FE2549 9-19 removed, 
SHT001, Shelby S.F., 433', Shelby, FF1942 9-18 removed, 
SMT001, Gordonsville, 1106', Smith, 4-24 standing, 
SMT002, Maces Hill, 1086', Smith, 4-23 removed, 
STT001, Barrow, 650', Stewart, 6-17 standing, 
STT002, Big A, 693', Stewart, 6-18 removed, 
STT003, Dover, 704', Stewart, GC2634 6-19 standing, 
STT004, Fort Campbell, 561', Stewart, removed, 
SUT001, Big Creek, 1873', Sullivan, historical, 
SUT003, McQueen Knob, 3885', Sullivan, FZ2170 cnf removed, 
SUT002, Whitetop Knobs, 2054', Sullivan, 1-4 removed, 
SRT001, Westmoreland, 991', Sumner, 6-1 removed, 
SRT002, White House, 932', Sumner, 6-2 standing, 
TIT001, Antioch, 430', Tipton, 9-16 standing, 
TIT002, Tabernacle, 420', Tipton, FE2637 9-17 removed, 
TRT001, Hartsville, 1031', Trousdale, 4-26 standing, 
UCT001, Pinnacle Mountain, 3522', Unicoi, GA3381 cnf standing, 
UCT002, Temple Hill, 3697', Unicoi, cnf removed, 
UNT001, Chuck Swan, 1663', Union, GA3565 2-10 standing, 
UNT003, Maynardville, 1722', Union, GA3562 2-11 standing, 
UNT002, Walker Ford, 1964', Union, GA3534 2-11 moved, 
VBT001, Spencer, 1877', VanBuren, 3-17 standing, 
WAT001, Cope Mountain, 1250', Warren, 5-1 removed, 
WAT002, Harrison Ferry, 1946', Warren, 5-2 removed, 
WAT003, Viola, 1089', Warren, 5-3 standing, 
WYT001, Flat Woods, 950', Wayne, FD1595 7-20 standing, 
WYT002, Hardins Creek, 853', Wayne, FD1612 7-23 standing, 
WYT003, Lutts, 899', Wayne, 7-25 standing, 
WYT004, McGlamerys, 1043', Wayne, 7-24 standing, 
WYT005, Ovilla, 1057', Wayne, 7-22 removed, 
WYT006, Waynesboro, 973', Wayne, FD1605 7-21 removed, 
WET001, Gleason, 555', Weakley, GD1498 9-2 removed, 
WET002, Hyndsver, 503', Weakley, 9-1 standing, 
WHT001, Goulden Mountain, 1529', White, 4-17 removed, 
WHT002, Milksick Mountain, 1640', White, 4-19 removed, 
WHT003, Stringtown, 2004', White, 4-18 standing, 
WIT002, Bingham, 962', Williamson, 7-1 removed, 
WIT001, Pewitt, 978', Williamson, FD1503 7-2 moved, 
WLT001, Hurricane, 794', Wilson, 6-4 standing, 
WLT002, Jennings Knob, 1221', Wilson, GC2150 6-3 standing, 
NCT001, High Rocks, 5190', NC, FB2576 gsmnp removed, 
NCT002, Mt Sterling, 5842', NC, FB2455 gsmnp standing, 
NCT003, Shuckstack, 4020', NC, FB2620 gsmnp standing, 
NCT004, Spruce Mountain, 5647', NC, FB2481 gsmnp removed, 
, 
