Arizona Lookouts Total known Sites - 120 Last Update - 8/8/2011, 
Lookout Name, NF/Area, Status, Elev, Height, Type, Manufacturer, Con Year, 
Skinner Ridge **, Kalbab NF, Former, 7248, 60, 7x7, Aermotor MC-39-, 1929, 
Slate Mtn, Coconino NF, Former, 8215, 3, Wood cabin, Forest Service, 1941, 
Springer Mtn, Apache-Sitgreaves NF, Active+, 7203, 31.6, MC-24, Aermotor, 1933, 
Spruce Mtn, Prescott NF, Active+, 7693, 30, MC-24, Aermotor, 1936, 
Sugar Loaf, Chiricahua Nat.Mon, Active+, 7310, 3, Stone House, NPS, 1936, 
Summit Mtn, Kalbab NF, Former, 7797, 30, Stand/Tree, Forest Service, 1916/1, 
Thornton, Hualapai IR, Active, 6780, 82.6, 7x7, Aermotor ?, 1945, 
Tower Mtn **, Prescott NF, Inactive+, 7628, 30, 12x12 D-2, Pacific Coast Steel, 933, 
Turkey Butte **, Coconino NF, Active+, 7294, 31.6, MC-24, Aermotor, 1937, 
Verde Vally/Jerome, Prescott NF, Former, 3880, 3, Ground Cabin, Forest Service, 1938, 
Volunteer **, Kalbab NF, Active+, 8047, 30, R-6 flat, USDA-FS CL 100-, 1963, 
Webb Peak, Coronado NF, Semi-Active*+, 10029, 45.9, 7x7, Aermotor MC-40, 1933, 
West Peak, Coronado NF, Semi-Active*+, 8670, 45.9, 7x7, Aermotor Mc-40, 1933, 
Whitney Pass, BLM-AZ Strip, Inactive, 4400, 3, House, BLM, 1962, 
Williams Valley, Apache-Sitgreaves NF, Former, 9273, 0, Crow's Nest, Forest Service, 1920's, 
Willow Mtn, San Carlos IR, Former, 7817, 20, Wood, San Carlos IR, 1930, 
Wing Mtn, Coconino NF, Former, 8527, 0, Wood, Forest Service, ?, 
Woody Mtn **, Coconino NF, Active*+, 8094, 45.9, 7x7, Pacific Coast Steel, 1936, 
, , , , , , , , 
Totals: Total standing active - 58 Total standing inactive - 19 Total no longer standing - 43, 
Notes: Individual Tower breakdowns will be added in the future AZ Tower Research by Dave Lorenz Last update on this page - 8/8/2011, Key: * - National Register of Historic Places ** - Previous Tower at this site + - National Historic Lookout Register ? - Not Confirmed, 
